sx,sy,ex,ey
1131,676,1280,720
1152,650,1201,680
1183,626,1226,655
1205,605,1245,630
1228,580,1257,610
1251,355,1280,587
1140,307,1280,365
1133,480,1252,551
936,662,986,720
926,646,968,671
868,586,950,648
901,473,982,486
940,447,991,477
965,425,1001,462
1000,385,1025,441
1026,360,1062,408
1055,328,1091,378
1086,305,1113,352
1110,298,1147,346
1161,122,1218,308
516,622,892,660
457,580,515,637
512,587,541,628
370,580,486,632
323,575,368,612
301,550,351,575
287,533,327,553
258,505,303,536
237,476,270,508
201,402,258,483
177,375,240,407
145,362,218,381
127,353,156,373
102,338,135,367
82,320,117,348
61,301,91,327
41,58,80,303
57,72,90,116
80,47,122,81
113,22,141,62
131,0,165,41
151,0,183,17
603,81,746,207
672,198,796,273
612,201,677,220
627,218,683,235
642,236,685,248
657,248,693,271
740,188,778,200
727,168,763,192
1146,108,1176,140
1132,101,1163,125
1120,91,1145,113
1102,76,1136,101
1085,53,1121,87
1062,25,1102,60
460,0,1077,43
435,0,458,36
405,0,438,16
