sx,sy,ex,ey
543,711,616,720
561,698,641,720
585,679,661,698
604,659,699,679
626,637,706,660
653,615,723,637
670,593,750,614
690,573,765,595
704,547,793,574
777,542,916,573
817,530,885,549
827,514,904,532
848,494,926,514
872,473,941,494
892,460,966,473
910,436,1187,460
1140,421,1193,441
1154,403,1224,424
1172,393,1242,403
1188,375,1280,393
1207,355,1280,375
1221,328,1280,352
1244,0,1280,328
1227,21,1247,75
1202,0,1232,49
142,698,201,720
114,675,186,700
89,650,159,673
66,610,123,651
60,575,103,610
51,313,93,575
57,324,97,368
73,315,109,350
104,280,131,328
128,268,147,311
145,247,169,288
167,201,191,262
586,428,702,507
155,429,283,491
345,341,464,431
182,196,290,271
219,110,347,169
325,180,442,235
621,136,728,215
925,102,1048,161
907,299,1022,387
1039,300,1160,368
1132,214,1253,296
172,147,220,196
346,47,541,135
540,80,573,138
573,61,603,125
604,44,633,115
636,42,670,102
669,0,702,94
702,0,741,80
742,0,789,69
790,0,821,54
821,0,856,44
854,0,877,31
877,0,929,24
928,0,961,14
