sx,sy,ex,ey
0,383,100,720
79,660,1280,720
301,556,1280,657
422,532,1280,581
406,407,503,519
272,295,369,380
285,227,353,256
482,159,578,273
430,260,506,284
548,259,606,290
493,282,539,326
734,289,832,376
696,360,741,385
842,330,879,372
735,398,829,483
832,458,868,485
808,480,832,498
933,371,1030,490
1036,459,1069,491
1038,514,1280,531
1100,496,1280,510
1130,488,1280,497
1107,432,1156,462
1197,471,1280,484
1230,443,1280,472
1139,343,1260,410
1271,0,1280,442
0,363,115,379
0,296,129,359
0,0,193,293
131,310,216,337
196,0,206,284
207,0,228,264
230,0,254,238
256,0,318,218
321,0,480,216
481,0,576,157
579,0,625,217
627,0,641,206
642,0,663,181
666,0,683,159
685,0,701,137
703,77,817,142
703,0,743,73
1112,0,1280,179
1171,179,1280,223
997,0,1110,147
1053,146,1096,174
383,482,403,503
513,481,592,505
500,507,540,534
102,544,225,601
