sx,sy,ex,ey
897,0,1023,127
914,127,1004,146
936,149,983,163
1024,0,1033,115
1080,0,1206,85
1051,121,1091,158
1154,339,1259,420
1085,448,1201,504
1140,503,1219,550
849,380,963,445
737,354,844,439
652,0,777,75
703,111,727,130
731,101,757,122
463,141,746,258
755,201,886,237
817,246,853,270
773,256,805,280
468,246,520,287
445,294,470,320
451,350,566,386
490,381,526,411
445,438,479,484
616,569,852,619
418,602,524,720
37,340,131,456
1207,0,1280,49
1247,47,1280,62
1260,66,1280,88
1275,279,1280,428
1263,320,1280,412
1251,423,1280,473
1243,467,1280,516
1231,502,1280,556
1216,542,1259,582
922,577,1280,624
930,552,1047,577
954,528,1031,551
918,583,944,649
889,610,923,663
901,589,923,617
851,641,897,696
520,652,859,720
504,625,560,656
25,680,416,720
382,654,433,687
95,669,135,687
57,657,117,674
47,638,96,658
0,627,85,642
0,604,60,629
0,583,48,604
0,563,31,583
573,76,662,142
661,72,697,112
378,301,444,530
427,518,464,528
367,479,388,520
352,469,374,502
342,451,362,486
325,432,352,466
304,403,332,442
130,323,386,382
180,372,343,406
0,346,35,375
