sx,sy,ex,ey
1095,509,1187,720
956,510,1099,570
857,420,986,496
1057,692,1094,720
985,454,1029,511
895,536,926,558
1045,621,1075,649
578,688,688,720
436,583,622,720
340,611,444,720
273,702,341,720
236,692,292,720
203,684,272,720
199,674,249,700
155,658,221,684
111,650,189,676
84,636,158,663
63,623,133,650
0,426,116,634
103,478,144,499
107,438,170,462
123,394,203,424
105,416,160,439
183,442,220,465
219,336,309,462
305,369,494,454
487,423,558,461
176,289,234,337
209,277,249,330
225,254,273,305
248,194,295,278
279,194,471,260
791,397,873,467
765,404,809,454
748,384,783,433
727,372,770,412
705,352,749,388
692,183,719,372
680,227,706,303
652,217,699,279
526,186,665,258
122,197,279,239
115,188,164,208
104,172,141,189
91,153,130,176
45,0,119,159
113,29,218,105
113,0,158,25
234,84,359,144
539,175,584,191
552,157,602,175
560,33,636,157
547,46,570,84
519,0,555,63
465,0,526,34
157,322,220,394
