sx,sy,ex,ey
428,660,506,720
442,651,502,666
465,646,511,658
487,641,518,652
497,635,538,650
523,625,738,640
737,631,877,678
868,662,916,688
901,667,941,696
925,673,962,720
943,681,1280,720
1201,675,1258,691
1243,627,1280,681
1250,48,1280,633
45,685,201,720
90,672,148,720
76,657,133,687
56,642,111,666
32,622,93,657
0,598,71,628
0,573,57,611
0,438,30,570
20,378,132,541
101,361,218,451
1120,25,1251,102
1012,20,1136,81
191,442,221,465
206,461,246,486
221,481,263,505
246,500,283,522
265,513,472,531
448,498,476,526
467,486,492,511
486,465,510,493
510,453,537,471
563,397,683,460
528,425,562,462
548,468,583,501
668,521,702,546
582,572,618,600
627,583,656,608
632,438,660,472
654,465,680,484
671,478,700,505
688,494,722,524
707,518,737,537
724,531,748,549
734,544,760,558
745,496,832,562
810,446,927,515
738,282,925,444
1118,575,1195,633
946,631,976,662
988,620,1015,645
1198,311,1244,405
927,312,1039,336
1109,310,1208,338
1131,327,1155,351
937,324,974,386
741,121,927,209
900,103,937,150
920,86,953,132
933,73,966,115
941,76,978,103
963,56,991,98
972,33,1009,79
714,141,753,196
632,103,710,164
598,109,641,152
422,55,594,123
134,262,233,349
224,232,414,350
413,282,522,366
525,282,649,344
203,359,290,383
281,368,315,409
296,388,335,425
322,403,349,430
340,420,364,445
361,427,537,461
667,375,725,401
701,349,746,377
713,327,752,361
662,214,736,230
0,274,134,319
0,260,56,282
0,219,33,264
404,58,423,112
390,60,412,101
378,40,391,86
100,0,194,124
189,41,381,122
58,92,110,129
0,0,91,82
971,108,1017,142
1021,132,1044,154
